PWSID,Name,County,FedBgnDt,FedEndDt,VioType,VioName,Analyte,AnalyteCode,count
MO5031533   ,GREEN ACRES MOBILE HOME PARK,CAMDEN,01-Dec-15,31-Dec-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5031533   ,GREEN ACRES MOBILE HOME PARK,CAMDEN,01-Jun-15,30-Jun-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5031613   ,SKYVIEW SUBDIVISION,STONE,01-Mar-16,31-Mar-16,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5031613   ,SKYVIEW SUBDIVISION,STONE,01-Mar-16,31-Mar-16,21,"MCL (TCR), ACUTE",COLIFORM (TCR)                          ,3100,2
MO5033107   ,SHADY LANE SUBDIVISION,NEWTON,01-Jul-15,31-Jul-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5033107   ,SHADY LANE SUBDIVISION,NEWTON,01-Sep-15,30-Sep-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5033116   ,RIDGEVIEW ESTATES,DALLAS,01-Jun-14,30-Jun-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5033116   ,RIDGEVIEW ESTATES,DALLAS,01-Aug-15,31-Aug-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5036094   ,GREENE HILLS COUNTRY CLUB,GREENE,01-Sep-14,30-Sep-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5036094   ,GREENE HILLS COUNTRY CLUB,GREENE,01-Nov-15,30-Nov-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5036180   ,TANEY CO WATER LLC - VENICE,TANEY,01-Jan-14,31-Jan-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5036180   ,TANEY CO WATER LLC - VENICE,TANEY,01-Sep-15,30-Sep-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5036187   ,CROSS ROADS ACRES,GREENE,01-Jul-13,31-Jul-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5036187   ,CROSS ROADS ACRES,GREENE,01-Aug-14,31-Aug-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5036258   ,EASTBOUROUGH SUBD,GREENE,01-May-14,31-May-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5036258   ,EASTBOUROUGH SUBD,GREENE,01-Jun-15,30-Jun-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5036263   ,OZARK MOUNTAIN VILLAGE HOMES,STONE,01-Jul-14,31-Jul-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5036263   ,OZARK MOUNTAIN VILLAGE HOMES,STONE,01-Aug-14,31-Aug-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5036304   ,PEMBROOK VILLAGE SUBD,GREENE,01-Aug-13,31-Aug-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5036304   ,PEMBROOK VILLAGE SUBD,GREENE,01-Aug-14,31-Aug-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5036353   ,SCOTTSDALE PARK PROPERTY OWNERS ASSN,STONE,01-Jul-15,31-Jul-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5036353   ,SCOTTSDALE PARK PROPERTY OWNERS ASSN,STONE,01-Jul-15,31-Jul-15,21,"MCL (TCR), ACUTE",COLIFORM (TCR)                          ,3100,2
MO5040355   ,ROCKY TOP MOBILE HOME COURT,STONE,01-Apr-14,30-Apr-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5040355   ,ROCKY TOP MOBILE HOME COURT,STONE,01-Mar-14,31-Mar-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5041094   ,ELK O VUE RIVER PARK MHP,MCDONALD,01-Aug-15,31-Aug-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5041094   ,ELK O VUE RIVER PARK MHP,MCDONALD,01-Dec-15,31-Dec-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5041253   ,MERITTS CAMPGROUND,DALLAS,01-Jun-15,30-Jun-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5041253   ,MERITTS CAMPGROUND,DALLAS,01-Oct-13,31-Oct-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5048224   ,TOWN & COUNTRY MHP,NEWTON,01-Mar-13,31-Mar-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5048224   ,TOWN & COUNTRY MHP,NEWTON,01-Feb-13,28-Feb-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5048225   ,BIG VALLEY PARK MHP,NEWTON,01-Oct-13,31-Oct-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5048225   ,BIG VALLEY PARK MHP,NEWTON,01-Sep-13,30-Sep-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5061373   ,LIVES UNDER CONSTRUCTION BOYS RANCH,STONE,01-Oct-13,31-Oct-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5061373   ,LIVES UNDER CONSTRUCTION BOYS RANCH,STONE,01-Oct-14,31-Oct-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5069035   ,OZARK CORRECTIONAL CENTER,WEBSTER,01-Jul-14,31-Jul-14,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5069035   ,OZARK CORRECTIONAL CENTER,WEBSTER,01-Oct-15,31-Oct-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5171119   ,SHELL KNOB ELEMENTARY SCHOOL,BARRY,01-Aug-13,31-Aug-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5171119   ,SHELL KNOB ELEMENTARY SCHOOL,BARRY,01-Sep-13,30-Sep-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5171189   ,GASCONADE C 4 ELEM SCHOOL,LACLEDE,01-Jul-13,31-Jul-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5171189   ,GASCONADE C 4 ELEM SCHOOL,LACLEDE,01-Aug-13,31-Aug-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5171242   ,MANES R V ELEM SCHOOL,WRIGHT,01-Oct-13,31-Oct-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5171242   ,MANES R V ELEM SCHOOL,WRIGHT,01-Jun-15,30-Jun-15,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5171551   ,OSCEOLA PUBLIC SCHOOL,ST CLAIR,01-Oct-13,31-Oct-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
MO5171551   ,OSCEOLA PUBLIC SCHOOL,ST CLAIR,01-Nov-13,30-Nov-13,22,"MCL (TCR), MONTHLY",COLIFORM (TCR)                          ,3100,2
